@relation _tm450

@attribute 6c:aa:b3:39:f0:b8 integer
@attribute 6c:aa:b3:3c:80:88 integer
@attribute 6c:aa:b3:3c:33:a8 integer
@attribute 6c:aa:b3:79:f0:b8 integer
@attribute 6c:aa:b3:7c:80:88 integer
@attribute 6c:aa:b3:7c:33:a8 integer
@attribute 6c:aa:b3:37:f5:68 integer
@attribute 6c:aa:b3:77:f5:68 integer
@attribute 6c:aa:b3:39:f0:bc integer
@attribute 6c:aa:b3:79:f0:bc integer
@attribute 6c:aa:b3:38:0d:a8 integer
@attribute 6c:aa:b3:78:0d:a8 integer
@attribute 6c:aa:b3:3c:80:8c integer
@attribute 6c:aa:b3:7c:80:8c integer
@attribute 6c:aa:b3:3c:33:ac integer
@attribute 84:18:3a:2c:06:58 integer
@attribute 6c:aa:b3:7c:33:ac integer
@attribute 84:18:3a:6c:06:58 integer
@attribute 6c:aa:b3:38:0d:ac integer
@attribute 6c:aa:b3:78:0d:ac integer
@attribute 00:26:99:4f:e1:60 integer
@attribute 00:26:99:4f:e1:61 integer
@attribute 00:26:99:4f:db:11 integer
@attribute 00:26:99:4f:db:10 integer
@attribute 18:83:bf:da:3c:1e integer
@attribute 00:19:cb:57:e4:18 integer
@attribute 00:0b:3b:cb:ea:1c integer
@attribute 84:18:3a:28:fc:d8 integer
@attribute 84:18:3a:23:ae:08 integer
@attribute c0:25:06:71:ee:29 integer
@attribute bc:14:01:c4:fe:fa integer
@attribute 84:18:3a:68:fc:d8 integer
@attribute 84:18:3a:63:ae:08 integer
@attribute bc:85:56:cf:07:91 integer
@attribute 74:31:70:10:24:42 integer

@attribute ROOM {4141,4137,4142,4143,4139,4138,}

@data
72,59,81,72,59,82,70,69,77,77,0,0,66,64,89,86,88,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4142
76,66,86,77,66,85,61,61,70,71,0,0,63,62,85,78,85,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4142
71,58,82,72,58,83,57,58,71,71,0,0,61,61,83,70,83,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4142
73,63,82,76,63,83,60,60,76,76,85,85,67,66,87,75,90,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4142
76,76,80,75,76,79,70,71,76,78,85,85,70,70,87,72,90,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4142
75,68,83,75,67,83,73,72,72,72,0,0,62,62,88,86,89,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4142
56,59,83,56,59,83,73,72,63,63,0,0,60,60,86,84,85,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4143
69,61,0,70,61,0,77,77,74,76,0,0,57,56,86,84,85,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4143
80,72,0,80,71,0,71,70,79,80,0,0,69,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4143
79,74,0,82,73,0,71,70,77,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4143
73,67,0,73,67,0,69,68,81,79,0,0,76,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4143
75,68,85,75,66,83,77,77,79,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4143
74,61,85,76,61,83,72,72,75,74,0,0,70,69,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4143
71,62,0,71,62,0,69,69,71,71,0,0,61,60,0,0,0,0,0,0,85,85,0,0,0,0,0,0,0,0,0,0,0,0,0,4143
68,59,87,67,59,88,69,71,76,75,0,0,68,68,0,0,0,86,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,4143
69,63,85,68,62,85,73,72,72,75,0,0,65,66,0,0,0,86,0,0,0,0,93,91,0,0,0,0,0,0,0,0,0,0,0,4143
67,63,85,67,63,85,69,69,73,73,0,0,67,66,0,86,0,87,0,0,0,0,91,91,0,0,0,0,0,0,0,0,0,0,0,4143
65,64,91,67,64,90,72,71,72,72,0,0,62,63,0,86,0,87,0,0,85,77,91,93,0,0,0,0,0,0,0,0,0,0,0,4143
