@attribute ROOM {2151,2152,2153,2124,2130,2131,2123,}

@data

0,81,0,0,0,79,0,0,79,0,79,61,89,62,90,84,84,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,84,0,0,2123
0,74,0,0,0,74,0,0,74,0,75,60,86,59,88,84,84,0,0,88,0,0,0,0,86,0,0,0,0,90,0,0,0,0,0,0,0,0,0,84,0,0,2123
0,81,0,0,0,76,0,0,80,0,80,58,82,56,82,79,80,0,0,84,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,2123
0,81,0,0,0,75,0,0,80,0,73,48,84,48,84,79,80,81,0,87,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,85,85,2123
0,79,0,0,0,65,84,0,79,0,65,52,85,53,85,73,72,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,81,0,0,0,0,0,0,84,0,0,2123
0,0,0,0,0,73,0,0,0,0,72,51,87,51,85,72,70,81,0,84,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,2123
0,0,0,0,0,69,84,0,0,0,68,50,78,50,80,74,71,78,0,84,78,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,0,0,2123
0,83,0,0,0,72,84,0,85,0,72,46,83,46,83,70,71,81,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2123
86,82,0,0,0,71,0,0,83,0,69,42,87,42,88,78,76,76,0,0,76,0,0,0,86,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,2123
86,82,0,0,0,64,0,0,83,0,64,55,82,54,84,69,70,80,0,0,81,0,0,0,86,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,2123
78,75,83,84,82,44,76,83,73,84,45,46,74,46,75,66,66,69,80,88,70,80,79,81,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
78,75,83,0,0,45,76,83,74,0,46,46,64,46,65,66,65,82,80,88,81,80,79,81,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
0,73,83,0,0,54,0,83,74,0,54,51,65,52,65,66,65,82,84,0,92,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
0,72,83,0,0,49,0,83,72,0,49,42,69,42,70,73,74,71,79,85,77,77,0,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
0,63,77,0,0,59,0,78,62,0,60,46,69,46,70,69,68,75,79,85,74,79,84,86,87,89,89,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
66,64,77,0,81,59,64,78,64,0,59,50,79,50,77,83,83,75,0,0,74,79,84,83,0,90,91,91,86,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
66,68,82,0,81,46,64,82,67,0,46,44,79,43,77,83,77,68,78,0,68,78,0,83,90,90,91,91,86,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
76,75,82,0,0,52,0,83,74,0,52,53,62,53,63,70,70,69,78,0,68,78,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2151
