@attribute ROOM {2151,2152,2153,2130,2131,2123,2124,}

@data

72,70,88,87,65,35,35,65,55,58,78,55,59,83,76,68,0,0,0,0,75,0,75,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,80,0,0,0,0,0,2152
0,84,0,0,77,61,60,77,56,82,0,56,81,0,78,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2124
74,75,86,87,0,35,35,0,54,58,79,53,59,77,65,65,0,0,0,0,75,0,77,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,80,0,0,0,0,0,2152
69,68,79,79,71,33,34,71,49,62,79,49,63,77,67,67,0,0,0,0,77,0,79,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,83,91,0,0,0,0,2152
77,78,90,89,71,42,42,70,52,59,0,54,59,84,61,65,0,92,0,0,79,0,81,0,0,0,0,0,0,87,91,0,0,0,0,0,0,0,81,0,91,0,0,0,2152
79,78,0,0,55,49,49,55,57,78,85,57,77,84,74,74,77,79,0,0,87,0,87,0,0,0,0,0,0,84,83,0,0,0,0,0,0,0,76,78,0,0,0,0,2153
79,78,0,0,55,53,53,55,54,78,85,56,77,84,74,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2153
79,79,0,0,65,53,52,65,56,83,0,56,83,0,73,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2153
68,68,0,0,68,42,44,68,52,79,0,53,80,0,67,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,2153
72,72,0,0,73,45,44,72,48,83,74,48,0,74,69,70,0,0,73,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2153
76,76,0,0,73,45,58,72,46,0,0,45,0,0,82,70,0,0,71,65,69,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2153
74,75,92,91,67,49,49,67,50,81,76,51,80,76,71,0,0,85,82,83,69,0,79,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,85,0,0,0,0,0,2153
