@relation _tm450

@attribute 6c:aa:b3:3c:80:88 integer
@attribute 6c:aa:b3:3c:80:8c integer
@attribute 6c:aa:b3:39:f0:b8 integer
@attribute 6c:aa:b3:39:f0:bc integer
@attribute 6c:aa:b3:37:f5:68 integer
@attribute 6c:aa:b3:3c:33:a8 integer
@attribute 6c:aa:b3:7c:80:88 integer
@attribute 6c:aa:b3:7c:80:8c integer
@attribute 6c:aa:b3:79:f0:b8 integer
@attribute 6c:aa:b3:79:f0:bc integer
@attribute 6c:aa:b3:77:f5:68 integer
@attribute 6c:aa:b3:7c:33:a8 integer
@attribute 6c:aa:b3:3c:33:ac integer
@attribute 6c:aa:b3:38:0d:a8 integer
@attribute 6c:aa:b3:7c:33:ac integer
@attribute 6c:aa:b3:78:0d:a8 integer
@attribute 6c:aa:b3:38:0d:ac integer
@attribute 6c:aa:b3:78:0d:ac integer
@attribute 84:18:3a:2c:06:58 integer
@attribute 84:18:3a:6c:06:58 integer
@attribute 6c:aa:b3:79:7d:38 integer
@attribute 6c:aa:b3:39:7d:3c integer
@attribute 6c:aa:b3:79:7d:3c integer
@attribute 6c:aa:b3:39:7d:38 integer
@attribute 00:1c:28:71:d3:af integer
@attribute 00:0b:3b:cb:ea:1c integer
@attribute 84:18:3a:23:ae:08 integer
@attribute 84:18:3a:63:ae:08 integer
@attribute 00:19:cb:57:e4:18 integer
@attribute 00:1a:2a:3e:c8:2d integer
@attribute c0:25:06:71:ee:29 integer
@attribute 00:26:99:4f:e1:61 integer
@attribute 00:26:99:4f:db:11 integer
@attribute 00:26:99:4f:db:10 integer
@attribute 00:26:99:4f:e1:60 integer

@attribute ROOM {4141,4144,4142,4138,4139,4143,4137,}

@data
68,73,75,77,64,85,67,73,73,79,63,87,91,0,91,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4139
64,68,77,80,55,86,64,68,76,79,54,85,91,0,91,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4139
68,65,74,80,64,86,68,65,73,79,64,85,0,0,0,0,0,0,82,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4139
70,63,69,73,61,80,70,63,68,73,61,82,83,0,83,0,0,0,82,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4139
62,64,71,73,77,80,62,63,71,73,76,82,83,0,83,0,0,0,78,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4139
66,67,73,75,67,83,66,66,72,75,67,84,0,0,0,0,0,0,81,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4143
58,69,72,78,70,82,59,68,73,79,69,83,0,0,0,0,0,0,80,82,0,0,0,0,0,0,0,0,0,0,0,82,0,0,0,4143
52,62,70,78,67,82,52,63,70,79,67,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,92,0,0,4143
55,59,61,76,65,79,55,60,61,76,65,79,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,92,88,0,4143
52,68,71,78,70,83,52,68,72,77,70,83,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,91,88,72,4143
59,65,71,72,69,82,59,66,73,74,69,83,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,79,0,88,4143
59,70,71,83,65,83,58,70,70,83,66,82,0,0,94,0,0,0,84,83,0,0,0,0,0,0,0,0,0,0,0,73,87,0,76,4143
53,65,69,82,70,84,54,65,69,82,72,84,0,0,0,0,0,0,84,87,0,0,0,0,0,0,0,0,0,0,0,73,84,0,76,4143
56,61,66,76,67,87,56,63,65,78,67,84,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,0,0,0,76,92,0,0,4143
51,56,69,79,70,87,52,57,70,78,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,92,0,0,4143
56,56,71,75,69,81,55,57,71,74,69,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4143
60,66,59,75,64,78,60,66,60,75,64,79,89,88,89,0,0,0,79,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4137
53,56,58,75,59,75,53,56,58,75,60,76,84,85,84,0,0,0,76,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4137
35,56,68,73,70,75,35,56,68,72,69,76,84,85,84,0,0,0,86,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4137
40,38,67,69,70,85,41,38,67,71,73,84,85,0,85,0,0,0,79,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4137
45,55,65,63,56,83,45,55,65,66,55,83,86,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4137
42,39,60,69,75,78,41,39,60,70,74,77,86,0,86,0,0,0,82,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4137
43,40,64,69,65,81,43,40,65,70,66,79,0,0,0,0,0,0,82,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4137
47,57,58,63,64,81,47,57,57,63,63,81,76,86,78,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4137
57,60,69,63,57,77,57,60,71,63,58,77,85,86,84,87,0,0,76,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4137
46,53,61,70,52,83,46,54,62,71,52,82,85,0,84,0,0,0,76,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4137
